NOME DA EMPRESA;NÚMERO DA LINHA;ITINERÁRIO;ARQUIVO
Transporte Coletivo Duarte Ltda;16.1189-01;"Catalão a Ouvidor (GO-504; GO-503)";"Linha Semiurbana 16.1189-01 Catalão a Ouvidor (GO-504; GO-503)"
UTB União Transporte Brasília Ltda.;07.1102-00;Uruaçu a Niquelândia;Linha 07.1102-00 Uruaçu a Niquelândia
UTB União Transporte Brasília Ltda.;07.1103-00;Uruaçu a Alto Horizonte (via Nova Iguaçu de Goiás);Linha 07.1103-00 Uruaçu a Alto Horizonte (via Nova Iguaçu de Goiás)
UTB União Transporte Brasília Ltda.;07.1104-00;Campinorte a Alto Horizonte (via Nova Iguaçu de Goiás);Linha 07.1104-00 Campinorte a Alto Horizonte (via Nova Iguaçu de Goiás)
UTB União Transporte Brasília Ltda.;07.1103-01;Uruaçu a Alto Horizonte (via Nova Iguaçu de Goiás);Serviço semiurbano 07.1103-01 Uruaçu a Alto Horizonte (via Nova Iguaçu de Goiás)
UTB União Transporte Brasília Ltda.;07.1104-01;Campinorte a Alto Horizonte (via Nova Iguaçu de Goiás);Serviço semiurbano 07.1104-01 Campinorte a Alto Horizonte (via Nova Iguaçu de Goiás)
Viação Araguarina Ltda;11.158-00;Goiânia a Anápolis;Linha 11.158-00 Goiânia a Anápolis
Viação Araguarina Ltda;11.159-00;Goiânia a Inhumas;Linha 11.159-00 Goiânia a Inhumas
Viação Araguarina Ltda;11.1165-00;Anápolis a Terezópolis de Goiás;Linha 11.1165-00 Anápolis a Terezópolis de Goiás
Viação Araguarina Ltda;11.158-01;Goiânia a Anápolis;Serviço Semiurbano 11.158-01 Goiânia a Anápolis
Viação Araguarina Ltda;11.159-01;Goiânia a Inhumas;Serviço Semiurbano 11.159-01 Goiânia a Inhumas
Viação Araguarina Ltda;11.1165-01;Anápolis a Terezópolis de Goiás;Serviço Semiurbano 11.1165-01 Anápolis a Terezópolis de Goiás
Viação Estrela Ltda.;15.190-00;Goiânia a Bom Jesus de Goiás;Linha 15.190-00 Goiânia a Bom Jesus de Goiás
Viação Estrela Ltda.;15.191-00;Goiânia a Buriti Alegre;Linha 15.191-00 Goiânia a Buriti Alegre
Viação Estrela Ltda.;15.192-00;Goiânia a Cachoeira Dourada;Linha 15.192-00 Goiânia a Cachoeira Dourada
Viação Estrela Ltda.;15.193-00;Goiânia a Caldas Novas (via Cristianópolis);Linha 15.193-00 Goiânia a Caldas Novas (via Cristianópolis)
Viação Estrela Ltda.;15.194-00;Goiânia a Catalão (via Bela Vista de Goiás);Linha 15.194-00 Goiânia a Catalão (via Bela Vista de Goiás)
Viação Estrela Ltda.;15.195-00;Goiânia a Catalão (via Bonfinópolis);Linha 15.195-00 Goiânia a Catalão (via Bonfinópolis)
Viação Estrela Ltda.;15.196-00;Goiânia a Itumbiara;Linha 15.196-00 Goiânia a Itumbiara
Viação Estrela Ltda.;15.197-00;Goiânia a Joviânia;Linha 15.197-00 Goiânia a Joviânia
Viação Estrela Ltda.;15.198-00;Goiânia a Leopoldo de Bulhões;Linha 15.198-00 Goiânia a Leopoldo de Bulhões
Viação Estrela Ltda.;15.199-00;Goiânia a Luziânia;Linha 15.199-00 Goiânia a Luziânia
Viação Estrela Ltda.;15.200-00;Goiânia a Morrinhos;Linha 15.200-00 Goiânia a Morrinhos
Viação Estrela Ltda.;15.280-00;Goiânia a Catalão (via Bela Vista de Goiás);Linha 15.280-00 Goiânia a Catalão (via Bela Vista de Goiás)
Viação Estrela Ltda.;15.1201-00;Anápolis a Catalão;Linha 15.1201-00 Anápolis a Catalão
Viação Estrela Ltda.;15.1202-00;Anápolis a Leopoldo de Bulhões;Linha 15.1202-00 Anápolis a Leopoldo de Bulhões
Viação Estrela Ltda.;15.1208-00;Edéia a Itumbiara;Linha 15.1208-00 Edéia a Itumbiara
Viação Estrela Ltda.;15.1211-00;Itumbiara a Goiatuba;Linha 15.1211-00 Itumbiara a Goiatuba
Viação Estrela Ltda.;15.1212-00;Itumbiara a Rio Verde;Linha 15.1212-00 Itumbiara a Rio Verde
Viação Estrela Ltda.;15.1213-00;Leopoldo de Bulhões a Vianápolis;Linha 15.1213-00 Leopoldo de Bulhões a Vianápolis
Viação Estrela Ltda.;15.1214-00;Morrinhos a Itumbiara;Linha 15.1214-00 Morrinhos a Itumbiara
Viação Estrela Ltda.;15.1215-00;Pires do Rio a Urutaí;Linha 15.1215-00 Pires do Rio a Urutaí
Viação Estrela Ltda.;15.1216-00;Pontalina a Morrinhos;Linha 15.1216-00 Pontalina a Morrinhos
Viação Estrela Ltda.;15.1219-00;Vianópolis a Orizona;Linha 15.1219-00 Vianópolis a Orizona
Viação Estrela Ltda.;15.1275-00;Anápolis a Catalão;Linha 15.1275-00 Anápolis a Catalão
Viação Estrela Ltda.;15.1203-01;Catalão – Anhanguera;Serviço Semiurbano nº 15.1203-01 – Catalão – Anhanguera
Viação Estrela Ltda.;15.1204-01;Catalão – Davinópolis;Serviço Semiurbano nº 15.1204-01 – Catalão – Davinópolis
Viação Estrela Ltda.;15.1205-01;Catalão a Goiandira;Serviço Semiurbano nº 15.1205-01 Catalão a Goiandira
Viação Estrela Ltda.;15.1206-01;Catalão a Ouvidor;Serviço Semiurbano nº 15.1206-01 Catalão a Ouvidor
Viação Estrela Ltda.;15.1207-01;Catalão – Três Ranchos;Serviço Semiurbano nº 15.1207-01 – Catalão – Três Ranchos
Viação Estrela Ltda.;15.1209-01;Goiandira – Nova Aurora;Serviço Semiurbano nº 15.1209-01 – Goiandira – Nova Aurora
Viação Estrela Ltda.;15.1210-01;Itumbiara – Bom Jesus de Goiás;Serviço Semiurbano nº 15.1210-01 – Itumbiara – Bom Jesus de Goiás
Viação Estrela Ltda.;15.1218-01;Santa Helena de Goiás – Rio Verde;Serviço Semiurbano nº 15.1218-01 – Santa Helena de Goiás – Rio Verde
Viação Estrela Ltda.;15.1217-01;Santa Helena de Goiás a Maurilândia;Serviço Semiurbano nº 15.1217-01 Santa Helena de Goiás a Maurilândia
Viação Estrela Ltda.;15.196-01;Goiânia a Itumbiara;Serviço Viagens Diretas 15.196-01 Goiânia a Itumbiara
Viação Estrela Ltda.;15.196-02;Goiânia a Itumbiara;Serviço Viagens Semidiretas 15.196-02 Goiânia a Itumbiara
Viação Estrela Ltda.;15.1212-01;Itumbiara a Rio Verde;Serviço Viagens Semidiretas 15.1212-01 Itumbiara a Rio Verde
Viação Montes Belos Ltda.;13.179-00;Goiânia a Córrego do Ouro;Linha 13.179-00 Goiânia a Córrego do Ouro
Viação Montes Belos Ltda.;13.180-00;Goiânia a Fazenda Nova;Linha 13.180-00 Goiânia a Fazenda Nova
Viação Montes Belos Ltda.;13.1181-00;Adelândia a Anicuns;Linha 13.1181-00 Adelândia a Anicuns
Viação Montes Belos Ltda.;13.1182-00;São Luiz de Montes Belos a Aurilândia;Linha 13.1182-00 São Luiz de Montes Belos a Aurilândia
Viação Montes Belos Ltda.;13.1183-00;São Luiz de Montes Belos a Cachoeira de Goiás;Linha 13.1183-00 São Luiz de Montes Belos a Cachoeira de Goiás
Viação Montes Belos Ltda.;13.1184-00;São Luiz de Montes Belos a Córrego do Ouro;Linha 13.1184-00 São Luiz de Montes Belos a Córrego do Ouro
Viação Montes Belos Ltda.;13.1185-00;São Luiz de Montes Belos a Ivolândia (via Moiporá);Linha 13.1185-00 São Luiz de Montes Belos a Ivolândia (via Moiporá)
Viação Montes Belos Ltda.;13.1186-00;São Luiz de Montes Belos a Palminópolis;Linha 13.1186-00 São Luiz de Montes Belos a Palminópolis
Viação Montes Belos Ltda.;13.1187-00;São Luiz de Montes Belos a Sanclerlândia;Linha 13.1187-00 São Luiz de Montes Belos a Sanclerlândia
Viação Paraúna Ltda.;09.1099-00;Caldas Novas a Rio Quente;Linha 09.1099-00 Caldas Novas a Rio Quente
Viação Paraúna Ltda.;09.1100-00;Ipameri a Caldas Novas;Linha 09.1100-00 Ipameri a Caldas Novas
Viação Paraúna Ltda.;09.1099-01;Caldas Novas a Rio Quente;Serviço Semiurbano 09.1099-01 Caldas Novas a Rio Quente
Viação Paraúna Ltda.;09.1100-01;Ipameri a Caldas Novas;Serviço Semiurbano 09.1100-01 Ipameri a Caldas Novas
Viação Reobote Ltda;6156.1262-00;Formosa – Planaltina de Goiás;Linha nº 6156.1262-00 – Formosa – Planaltina de Goiás
Viação Reobote Ltda;6156.1263-00;Formosa a Cabeceiras (via GO-346);Linha nº 6156.1263-00 – Formosa a Cabeceiras (via GO-346)
Viação Reobote Ltda;6156.1264-00;Formosa a Flores de Goiás;Linha nº 6156.1264-00 – Formosa a Flores de Goiás
