Município;Propriedade;Entidade Gestora;Situação;Convênio;Vigência
Mundo Novo;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Nazário;Município;Prefeitura;OPERANDO;–;GUICHÊ
Nerópolis;Município;Prefeitura;OPERANDO;–;–
Niquelândia;Estado;Assoc. Comunitária de Bairros e Adjacentes;OPERANDO;NÃO;INDETERM
Nova América;Município;Prefeitura;OPERANDO;–;–
Nova Aurora;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Nova Crixás;Município;Prefeitura;OPERANDO;–;–
Nova Glória;Estado;GEPIT/SGG;NÃO OPERA;SIM;24/11/2024
Nova Iguaçu de Goiás;Particular;Particular;OPERANDO;–;–
Nova Veneza;Estado;GEPIT/SGG;OPERANDO;SIM;11/07/2022
Novo Brasil;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Orizona;Estado;GEPIT/SGG;OPERANDO;SIM;01/09/2022
Ouro Verde;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Ouvidor;Estado;SEDI;OPERANDO;NÃO;–
Padre Bernardo;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Palestina de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Palmeiras de Goiás;Município;Prefeitura;OPERANDO;NÃO;–
Palmelo;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Palminópolis;Estado;GEPIT/SGG;NÃO OPERA;SIM;14/04/2022
Panamá;Estado;GEPIT/SGG;NÃO OPERA;SIM;20/05/2024
Paranaiguara;Município;Prefeitura;OPERANDO;–;–
Paraúna;Estado;GEPIT/SGG;OPERANDO;SIM;10/12/2023
Petrolina de Goiás;Estado;GEPIT/SGG;NÃO OPERA;SIM;04/07/2023
Piracanjuba;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Piranhas;Município;Prefeitura;OPERANDO;–;–
Pirenópolis;Estado;Assoc. Romeiros da Stmª. Trindade Pireneus;OPERANDO;SIM;INDETERM
Pires do Rio;Estado;GEPIT/SGG;OPERANDO;SIM;01/09/2022
Planaltina;Município;Prefeitura;OPERANDO;–;–
Pontalina;Estado;GEPIT/SGG;OPERANDO;SIM;14/05/2023
Porangatu;Município;Prefeitura;OPERANDO;–;–
Portelândia;Estado;GEPIT/SGG;OPERANDO;SIM;20/05/2024
Posse;Estado;SGG/GEPIT;OPERANDO;NÃO;–
Professor Jamil Safady;Estado;Prefeitura*;OPERANDO;SIM;01/08/2033
Quirinópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;14/12/2021
Rialma;Município;Prefeitura;OPERANDO;–;–
Rianápolis;Estado;GEPIT/SGG;OPERANDO;SIM;08/12/2021
Rio Verde;Município;Prefeitura;OPERANDO;–;–
Riverlândia (Distrito Rio Verde);Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Rubiataba;Estado;GEPIT/SGG;OPERANDO;SIM;17/07/2023
Sanclerlândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santa Bárbara de Goiás;Estado;Prefeitura;OPERANDO;SIM;23/06/2032
Santa Cruz de Goiás;Particular;Particular;OPERANDO;–;–
Santa Fé de Goiás;Estado;GEPIT/SGG;OPERANDO;VENCIDO;01/09/2022
Santa Helena de Goiás;Município;Prefeitura;OPERANDO;–;–
Santa Isabel;Estado;GEPIT/SGG;NÃO OPERA;VENCIDO;16/05/2024
Santa Rosa de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santa Tereza de Goiás;Particular;Particular;OPERANDO;–;–
Santa Terezinha de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santo Antônio da Barra;Município;Prefeitura*;OPERANDO;–;–
Santo Ant. Esperança (Dist. S. Cruz);Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santo Antônio do Descoberto;Estado;GEPIT/SGG;OPERANDO;VENCIDO;25/07/2024
São Domingos;Estado;GEPIT/SGG;OPERANDO;NÃO;–
São Francisco de Goiás;Estado;GEPIT/SGG;MODIFICADO;VENCIDO;20/12/2021
São João d´Aliança;Estado;GEPIT/SGG;NÃO OPERA;VENCIDO;24/07/2023
São João da Paraúna;Estado;GEPIT/SGG;OPERANDO;VENCIDO;12/04/2022
São Luiz do Norte;Particular;Particular;OPERANDO;–;–
São Luiz dos Montes Belos;Particular;Particular;OPERANDO;–;–
São Miguel do Araguaia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;23/12/2021
São Simão;Município;Prefeitura;OPERANDO;–;–
Serranópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;13/12/2021
Silvânia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;10/07/2024
Simolândia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;28/05/2024
Sítio d´Abadia;Estado;GEPIT/SGG;NÃO OPERA;–;FECHADO
Taquaral;Município;Prefeitura;OPERANDO;–;–
Três Ranchos;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Trindade;Município;Prefeitura;OPERANDO;–;–
Trombas;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Turvelândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Uirapuru;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Uruaçu;Estado;GEPIT/SGG;OPERANDO;–;–
Uruana;Município;Prefeitura;OPERANDO;–;–
Urutaí;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Varjão;Estado;GEPIT/SGG;OPERANDO;VENCIDO;14/08/2022
Vianópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;14/08/2022
Vicentinópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;15/05/2023
